id,date,voucher_name,branch,currency,party,quantity,gross_amt,discount,gross_minus_discount,net_amount,deductions,total_value
2,2024-04-01,AN24-25PMR 2,Ananta OCP,INR,MAA SABITRI ENTERPRISER,855.00,109155.00,,109155.00,109155.00,,109155.00
3,2024-04-01,AN24-25PMR 3,Ananta OCP,INR,MAA SABITRI ENTERPRISER,185.00,21755.00,,21755.00,21755.00,,21755.00
4,2024-04-01,AN24-25PMR 4,Ananta OCP,INR,MAA SABITRI ENTERPRISER,120.00,144144.00,,144144.00,144144.00,,144144.00
5,2024-04-01,AN24-25PMR 39,Ananta OCP,INR,NAYARA ENERGY LIMITED,40000.00,3273885.20,,3273885.20,3273885.20,2217.33,3271668.00
6,2024-04-01,AN24-25PMR 40,Ananta OCP,INR,NAYARA ENERGY LIMITED,40000.00,3273885.20,,3273885.20,3273885.20,2217.33,3271668.00
7,2024-04-01,AN24-25PNI 1,Ananta OCP,INR,TALCHER INDANE GRAMIN VITRAK,6.00,11631.00,,11631.00,11631.00,,11631.00
8,2024-04-01,AN24-25PNI 2,Ananta OCP,INR,TALCHER INDANE GRAMIN VITRAK,11.00,21323.50,,21323.50,21323.50,,21324.00
9,2024-04-01,AN24-25PNI 3,Ananta OCP,INR,MAA SABITRI ENTERPRISER,1.00,250.00,,250.00,295.00,,295.00
10,2024-04-01,AN24-25PNI 4,Ananta OCP,INR,MAA SABITRI ENTERPRISER,2.00,7887.98,,7887.98,9192.62,,9193.00
11,2024-04-01,AN24-25PNI 5,Ananta OCP,INR,MAA SABITRI ENTERPRISER,1.00,19293.00,,19293.00,19293.00,,19293.00
12,2024-04-01,AN24-25PNI 6,Ananta OCP,INR,MAA SABITRI ENTERPRISER,1.00,650.00,,650.00,650.00,,650.00
13,2024-04-01,AN24-25PNI 7,Ananta OCP,INR,MAA SABITRI ENTERPRISER,1.00,17100.00,,17100.00,17100.00,,17100.00
14,2024-04-01,AN24-25PNI 8,Ananta OCP,INR,MAA SABITRI ENTERPRISER,144.00,6392.40,,6392.40,7543.02,,7543.00
15,2024-04-01,AN24-25PNI 9,Ananta OCP,INR,MAA SABITRI ENTERPRISER,1.00,3861.00,,3861.00,3861.00,,3861.00
16,2024-04-01,AN24-25PNI 10,Ananta OCP,INR,MAA SABITRI ENTERPRISER,1.00,23826.00,,23826.00,23826.00,,23826.00
17,2024-04-01,AN24-25PNI 11,Ananta OCP,INR,MAA SABITRI ENTERPRISER,1.00,12379.00,,12379.00,12379.00,,12379.00
18,2024-04-01,AN24-25PNI 12,Ananta OCP,INR,MAA SABITRI ENTERPRISER,10.00,1596.00,,1596.00,1596.00,,1596.00
19,2024-04-01,AN24-25PNI 13,Ananta OCP,INR,MAA SABITRI ENTERPRISER,1.00,36842.00,,36842.00,36842.00,,36842.00
20,2024-04-01,AN24-25PNI 14,Ananta OCP,INR,SANJIT ARTS,1.00,31350.00,,31350.00,31350.00,,31350.00
21,2024-04-01,AN24-25PNI 15,Ananta OCP,INR,MAA SABITRI ENTERPRISER,100.00,3220.00,,3220.00,3799.60,,3800.00
22,2024-04-01,AN24-25PNI 16,Ananta OCP,INR,SANJIT ARTS,11.00,38500.00,,38500.00,38500.00,,38500.00
23,2024-04-01,AN24-25PNI 18,Ananta OCP,INR,ASPHA ELECTRICAL,22.00,16850.00,,16850.00,16850.00,,16850.00
24,2024-04-01,AN24-25PNI 360,Ananta OCP,INR,ARYA BUILDCON,500.00,130860.00,,130860.00,167500.80,,167501.00
