invoice_name,file_name,file_path,folder_name,number_of_pages,is_multipage,Invoice No,Invoice Date,Seller GSTIN,Seller Pan,Seller Name,Buyer GSTIN,Buyer Name,Buyer Pan,Ship to GSTIN,Ship to Name,Subtotal Amount,Discount Amount,CGST Amount,SGST Amount,IGST Amount,Cess Amount,Additianal Cess Amount
invoice_004,24-2019-20 - Sangeetha Madan.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Decathlon/24-2019-20 - Sangeetha Madan.pdf,Decathlon,1,False,,,,,,,,,,,,,,,,,
invoice_001,AH-001-2019-2020 - CHAMAN LAL BAJAJ.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Decathlon/AH-001-2019-2020 - CHAMAN LAL BAJAJ.pdf,Decathlon,1,False,,,,,,,,,,,,,,,,,
invoice_005,17182903.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Decathlon/17182903.pdf,Decathlon,1,False,,,,,,,,,,,,,,,,,
invoice_003,INV-2122-0031.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Decathlon/INV-2122-0031.pdf,Decathlon,2,True,,,,,,,,,,,,,,,,,
invoice_006,GKA22-122846.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Decathlon/GKA22-122846.pdf,Decathlon,1,False,,,,,,,,,,,,,,,,,
invoice_002,PB22INV5750.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Decathlon/PB22INV5750.pdf,Decathlon,1,False,,,,,,,,,,,,,,,,,
invoice_007,12028.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Decathlon/12028.pdf,Decathlon,1,False,,,,,,,,,,,,,,,,,
invoice_008,EP-03-71-21-22 - Ambience.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Decathlon/EP-03-71-21-22 - Ambience.pdf,Decathlon,2,True,,,,,,,,,,,,,,,,,
invoice_009,24-2019-20 - Sanjay Madan.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Decathlon/24-2019-20 - Sanjay Madan.pdf,Decathlon,1,False,,,,,,,,,,,,,,,,,
invoice_010,DL1-AR-006-19-20.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Decathlon/DL1-AR-006-19-20.pdf,Decathlon,1,False,,,,,,,,,,,,,,,,,
invoice_012,VIV 7998 - PETS CENTRIC PRIVATE LIMITED - MH - Muhammed Noufal.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Petfully/VIV 7998 - PETS CENTRIC PRIVATE LIMITED - MH - Muhammed Noufal.pdf,Petfully,1,False,,,,,,,,,,,,,,,,,
invoice_014,VIV 7999 - PETS CENTRIC PRIVATE LIMITED - DL - Muhammed Noufal.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Petfully/VIV 7999 - PETS CENTRIC PRIVATE LIMITED - DL - Muhammed Noufal.pdf,Petfully,1,False,,,,,,,,,,,,,,,,,
invoice_011,BOLPF 1236 - PETS CENTRIC PRIVATE LIMITED - DL - Muhammed Noufal.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Petfully/BOLPF 1236 - PETS CENTRIC PRIVATE LIMITED - DL - Muhammed Noufal.pdf,Petfully,2,True,,,,,,,,,,,,,,,,,
invoice_016,VIV 7997 - PETS CENTRIC PRIVATE LIMITED - KA - Muhammed Noufal.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Petfully/VIV 7997 - PETS CENTRIC PRIVATE LIMITED - KA - Muhammed Noufal.pdf,Petfully,1,False,,,,,,,,,,,,,,,,,
invoice_017,208_0003342_2324_PMRMO24437_2_20230803123014.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Hamdard/208_0003342_2324_PMRMO24437_2_20230803123014.pdf,Hamdard,1,False,,,,,,,,,,,,,,,,,
invoice_013,BOLPF 1235 - PETS CENTRIC PRIVATE LIMITED - MH - Muhammed Noufal.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Petfully/BOLPF 1235 - PETS CENTRIC PRIVATE LIMITED - MH - Muhammed Noufal.pdf,Petfully,2,True,,,,,,,,,,,,,,,,,
invoice_020,208_0003317_2324_PMRMO24411_1_20230802123434.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Hamdard/208_0003317_2324_PMRMO24411_1_20230802123434.pdf,Hamdard,1,False,,,,,,,,,,,,,,,,,
invoice_018,208_0003311_2324_PMRMO24405_1_20230802122016.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Hamdard/208_0003311_2324_PMRMO24405_1_20230802122016.pdf,Hamdard,1,False,,,,,,,,,,,,,,,,,
invoice_015,BOLPF 1234 - PETS CENTRIC PRIVATE LIMITED - KA - Muhammed Noufal.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Petfully/BOLPF 1234 - PETS CENTRIC PRIVATE LIMITED - KA - Muhammed Noufal.pdf,Petfully,2,True,,,,,,,,,,,,,,,,,
invoice_022,208_0003314_2324_PMRMO24408_1_20230802122526.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Hamdard/208_0003314_2324_PMRMO24408_1_20230802122526.pdf,Hamdard,1,False,,,,,,,,,,,,,,,,,
