po_id,po_number,po_date,total_amount,vendor_ref,delivery_terms,payment_term,shipment_mode,warranty_period,delivery_period,contact_person,mobile,created_at,updated_at,item_code,vendor_name,supplier_gstin,buyer_gstin,delivery_location,supplier_pan
2,PC24-25POAR 444,2024-12-31,123900.00,,,,,,,,,2025-04-30 14:08:38.374991,2025-04-30 14:08:38.374991,,,,,,
3,PC24-25_PO 333,2025-02-06,5598.00,VENDOR REFERENCE AS PER SAMPLE,,45 DAYS FROM THE DATE OF MATERIAL RECEIPT,BY ROAD,STANDARD,IMMEDIATE,ANJEE,703632031,2025-04-30 14:08:38.374991,2025-04-30 14:08:38.374991,,,,,,
4,PC24-25_PO 305,2025-01-27,9690.00,,,,,,,,,2025-04-30 14:08:38.374991,2025-04-30 14:08:38.374991,,,,,,
1,PC24-25_APO 1,2024-09-10,123900.00,,,,,,,,,2025-04-30 14:08:38.374991,2025-04-30 14:08:38.374991,,,,,,
5,AN24-25/PO 665,2025-02-05,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06393,INNOVATIVE INFRA & MINING SOLUTIONS LIMITED-ODISHA,21AAHCI1010J1Z8,,SAMBALPUROdishaIndia,AAHCI1010J  
6,TP24-25POAR 812,2025-01-09,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00009,AGARWAL EARTHMOVING ENTERPRISES-DELHI,07AALPG2743F1ZW,,111-D. KAMALA NAGARDELHIDelhiIndia,AALPG2743F  
7,TP24-25/PO 1516,2025-03-08,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00232,RAGHVENDRA ENTERPRISES-MADHYAPRADESH,23CWNPS3105D1ZR,,BESIDE GMMCO. JAYANT ROADMEDHAULIMadhya PradeshIndia,CWNPS3105D  
8,TP24-25/PO 1519,2025-03-01,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00487,GLOBAL COMMUNICATION SYSTEM,36AANFG0664M1ZZ,,"HOUSE NO.21-6-109,FCI(X) ROAD,NTPC,RAMAGUNDAM,GODAVARIKHANI,DIST:PEDDAPALLY,TELANGANARAMAGUNDAMTelanganaIndia",AANFG0664M  
9,TP24-25POAR 1094,2025-03-18,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06409,SHREE BALAJI CARBONIC GASES,22AGBPA1822D1ZI,,RAIGARHRAIGARHChhattisgarhIndia,AGBPA1822D  
10,TP24-25/PO 1373,2025-02-13,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00232,RAGHVENDRA ENTERPRISES-MADHYAPRADESH,23CWNPS3105D1ZR,,BESIDE GMMCO. JAYANT ROADMEDHAULIMadhya PradeshIndia,CWNPS3105D  
11,AN24-25/PO 702,2025-02-04,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04229,BUSINESS CENTRE,21BZAPS5927C1ZN,,"GANESH LAXMI MARKET COMPLEX BYPASS ROAD,ANGULOdishaIndia",BZAPS5927C  
