2,PC24-25POAR 444,31-12-2024,123900,,,,,,,,,08:38.4,08:38.4,,,,,,,open
3,PC24-25_PO 333,06-02-2025,5598,VENDOR REFERENCE AS PER SAMPLE,,45 DAYS FROM THE DATE OF MATERIAL RECEIPT,BY ROAD,STANDARD,IMMEDIATE,ANJEE,703632031,08:38.4,08:38.4,,,,,,,open
4,PC24-25_PO 305,27-01-2025,9690,,,,,,,,,08:38.4,08:38.4,,,,,,,open
1,PC24-25_APO 1,10-09-2024,123900,,,,,,,,,08:38.4,08:38.4,,,,,,,open
5,AN24-25/PO 665,05-02-2025,,,,,,,,,,31:03.3,31:03.3,S06393,INNOVATIVE INFRA & MINING SOLUTIONS LIMITED-ODISHA,21AAHCI1010J1Z8,,SAMBALPUROdishaIndia,AAHCI1010J  ,close
6,TP24-25POAR 812,09-01-2025,,,,,,,,,,31:03.3,31:03.3,S00009,AGARWAL EARTHMOVING ENTERPRISES-DELHI,07AALPG2743F1ZW,,111-D. KAMALA NAGARDELHIDelhiIndia,AALPG2743F  ,close
7,TP24-25/PO 1516,08-03-2025,,,,,,,,,,31:03.3,31:03.3,S00232,RAGHVENDRA ENTERPRISES-MADHYAPRADESH,23CWNPS3105D1ZR,,BESIDE GMMCO. JAYANT ROADMEDHAULIMadhya PradeshIndia,CWNPS3105D  ,close
8,TP24-25/PO 1519,01-03-2025,,,,,,,,,,31:03.3,31:03.3,S00487,GLOBAL COMMUNICATION SYSTEM,36AANFG0664M1ZZ,,"HOUSE NO.21-6-109,FCI(X) ROAD,NTPC,RAMAGUNDAM,GODAVARIKHANI,DIST:PEDDAPALLY,TELANGANARAMAGUNDAMTelanganaIndia",AANFG0664M  ,close
9,TP24-25POAR 1094,18-03-2025,,,,,,,,,,31:03.3,31:03.3,S06409,SHREE BALAJI CARBONIC GASES,22AGBPA1822D1ZI,,RAIGARHRAIGARHChhattisgarhIndia,AGBPA1822D  ,close
10,TP24-25/PO 1373,13-02-2025,,,,,,,,,,31:03.3,31:03.3,S00232,RAGHVENDRA ENTERPRISES-MADHYAPRADESH,23CWNPS3105D1ZR,,BESIDE GMMCO. JAYANT ROADMEDHAULIMadhya PradeshIndia,CWNPS3105D  ,close
11,AN24-25/PO 702,04-02-2025,,,,,,,,,,31:03.3,31:03.3,S04229,BUSINESS CENTRE,21BZAPS5927C1ZN,,"GANESH LAXMI MARKET COMPLEX BYPASS ROAD,ANGULOdishaIndia",BZAPS5927C  ,close
12,AN24-25/PO 775,10-03-2025,,,,,,,,,,31:03.3,31:03.3,S04331,CHIKU AUTOMOBILES,21AKHPM1624M1ZA,,HATATOTA ROADOdishaIndia,AKHPM1624M  ,close
13,AN24-25POAR 689,10-02-2025,,,,,,,,,,31:03.3,31:03.3,S05020,MALTEA GLOBAL SOLUTION PVT LTD,36AAMCM7546C1ZA,,"First Floor, Plot No 39, Mano Vikas Nagar,TelanganaIndia",AAMCM7546C  ,close
14,PC24-25POAR 564,10-03-2025,,,,,,,,,,31:03.3,31:03.3,S03528,WIRTGEN INDIA PVT. LTD-JH,20AAACW2816R1Z7,,HOUSE NO. O-SFS99JharkhandIndia,AAACW2816R  ,close
15,TP24-25/PO 1319,03-02-2025,,,,,,,,,,31:03.3,31:03.3,S04158,JTRONIX TECHNOLOGIES,27CROPS6494M1ZJ,,"GALA NO.10,TURBHE INDUSTRIAL PARKMaharashtraIndia",CROPS6494M  ,close
16,TP24-25/PO 1593,16-01-2025,,,,,,,,,,31:03.3,31:03.3,S04394,ARYA BUILDCON,21AABHL9940F1ZF,,"KHETRAJPUR,SAMBALPUROdishaIndia",AABHL9940F  ,close
17,TP24-25/PO 1437,20-02-2025,,,,,,,,,,31:03.3,31:03.3,S06387,RAMESHWAR NUT BOLTS,22AGWPA7528F1ZE,,KHARSIA ROADRAIGARHChhattisgarhIndia,AGWPA7528F  ,close
18,TP24-25/PO 1678,28-02-2025,,,,,,,,,,31:03.3,31:03.3,S06710,SURENDRA AUTOMOBILES,22AFJPA0972M1ZK,,"DHIMRAPUR CHOWK,RAIGARHRAIGARHChhattisgarhIndia",AFJPA0972M  ,close
19,PC24-25/PO 328,15-02-2025,,,,,,,,,,31:03.3,31:03.3,S06580,MAKSUB TYRE SHOP,               ,,NULLNULLNULLNULL,DEEPS0831C  ,close
20,HO24-25/PO 154,10-02-2025,,,,,,,,,,31:03.3,31:03.3,S00176,M.B ENTERPRISES,36AAEFM6621K1Z5,,4-4-85. MAHANKALI STREETSECUNDERABADTelanganaIndia,AAEFM6621K  ,close
21,AN24-25/PO 661,26-01-2025,,,,,,,,,,31:03.3,31:03.3,S06532,GUPTA BROTHERS,21BKOPG9525K1ZW,,"NH:-55,MAIN ROAD,ANGUL-759122ANGULOdishaIndia",BKOPG9525K  ,close
22,AN24-25POAR 736,05-03-2025,,,,,,,,,,31:03.3,31:03.3,S04081,HINGULA BATTERIES,21AGUPB9119R1ZT,,"BYE PASS,HATATOTAANGULOdishaIndia",AGUPB9119R  ,close
23,TP24-25POAR 1041,06-03-2025,,,,,,,,,,31:03.3,31:03.3,S00169,"LARSEN & TOUBRO LIMITED, NAGPUR",27AAACL0140P2ZI,,LOGISTICS PARK. SURVY NO. 99/1. 14TH  MILLSNAGPURMaharashtraIndia,AAACL0140P  ,close
24,AN24-25POAR 638,23-01-2025,,,,,,,,,,31:03.3,31:03.3,S04513,DOZER WORLD PRIVATE LIMITED - ODISHA,21AADCD2500J1ZC,,"APARAJITA APT.,FLAT  # 303, PL.#42,OdishaIndia",AADCD2500J  ,close
25,CM24-25POAR 1038,05-03-2025,,,,,,,,,,31:03.3,31:03.3,S03345,HANUMAN JI TRADERS - JHARKHAND,20ANIPA1895L1Z2,,TANDWAJharkhandIndia,ANIPA1895L  ,close
26,AN24-25/PO 677,13-02-2025,,,,,,,,,,31:03.3,31:03.3,S04174,J.K.TRADERS & CO,21AAYPR6261N1ZW,,HANDIDHUA CHOCKOdishaIndia,AAYPR6261N  ,close
27,AN24-25/PO 771,01-03-2025,,,,,,,,,,31:03.3,31:03.3,S04229,BUSINESS CENTRE,21BZAPS5927C1ZN,,"GANESH LAXMI MARKET COMPLEX BYPASS ROAD,ANGULOdishaIndia",BZAPS5927C  ,close
28,PC24-25/PO 342,20-02-2025,,,,,,,,,,31:03.3,31:03.3,S04985,GOSWAMI & DAS OXYGEN AGENCY,               ,,NULLNULLNULLNULL,            ,close
29,CM24-25POAR 1070,21-03-2025,,,,,,,,,,31:03.3,31:03.3,S00431,GANGA ENTERPRISES,20BAOPP8212Q1Z8,,NATRAJ NAGARHAZARIBAGJharkhandIndia,BAOPP8212Q  ,close
30,TP24-25POAR 913,04-02-2025,,,,,,,,,,31:03.3,31:03.3,S03110,NEW DIAMOND ELECTRICALS WORKS,23AGRPM0784A1ZJ,,"Main Road, SingrauliMadhya PradeshIndia",AGRPM0784A  ,close
31,CM24-25POAR 1026,24-02-2025,,,,,,,,,,31:03.3,31:03.3,S00235,RAJDEEP ELECTRIC & HARDWARE STORE,20AGNPC5915F1ZU,,Shaheed Chowkvdev Complex.TANDWAJharkhandIndia,AGNPC5915F  ,close
32,AN24-25POAR 592,08-01-2025,,,,,,,,,,31:03.3,31:03.3,S00032,ASIAD BEARING & ENGG.CO,09BKTPS1673M1Z4,,Auri more. AnparaAURI MOREUttar PradeshIndia,BKTPS1673M  ,close
33,AN24-25/PO 658,23-01-2025,,,,,,,,,,31:03.3,31:03.3,S06533,SRI SAI ENGINEERING WORKS AP,37AAIFS4059D1Z4,,"Shed No 33, Phase 3,VijayawadaAndhra PradeshIndia",AAIFS4059D  ,close
34,TP24-25/PO 1290,21-01-2025,,,,,,,,,,31:03.3,31:03.3,S06638,SBL ENERGY LIMITED,27AADCA3124B1ZE,,NAGAPURMaharashtraIndia,AADCA3124B  ,close
35,TP24-25POAR 1121,28-03-2025,,,,,,,,,,31:03.3,31:03.3,S06482,GARG HARDWARE,22ADBPG5772D1Z1,,"NEAR RAM NIWAS TALKIES ROAD,RAIGARHChhattisgarhIndia",ADBPG5772D  ,close
36,TP24-25POAR 1030,05-03-2025,,,,,,,,,,31:03.3,31:03.3,S00242,RANCHI RADIATOR WORKS,23APBPR3622K1ZZ,,MAIN ROAD. SINGRAULISINGRAULIMadhya PradeshIndia,APBPR3622K  ,close
37,CM24-25POAR 1008,25-02-2025,,,,,,,,,,31:03.3,31:03.3,S05089,VALVOLINE CUMMINS PRIVATE LIMITED - JHARKHAND,20AAACW0287A1Z1,,DAMKARADHANBADJharkhandIndia,AAACW0287A  ,close
38,AN24-25/PO 790,21-03-2025,,,,,,,,,,31:03.3,31:03.3,S06532,GUPTA BROTHERS,21BKOPG9525K1ZW,,"NH:-55,MAIN ROAD,ANGUL-759122ANGULOdishaIndia",BKOPG9525K  ,close
39,CM24-25POAR 928,28-01-2025,,,,,,,,,,31:03.3,31:03.3,S06417,INNOVATIVE INFRA & MINING SOLUTIONS LIMITED-JHARKHAND,20AAHCI1010J1ZA,,"PLOT NO.605, KHATA NO.51, K G ASHRAM POST OFFICE, MOUZA-JIYALGORA, P.S. GOVINDPURJharkhandIndia",AAHCI1010J  ,close
40,PC24-25POAR 478,23-01-2025,,,,,,,,,,31:03.3,31:03.3,S00199,MRF LIMITED. RANCHI,20AAACM4154G1Z1,,Kathal More. Near D.A.V.HehalRANCHIJharkhandIndia,AAACM4154G  ,close
41,CM24-25POAR 1090,26-03-2025,,,,,,,,,,31:03.3,31:03.3,S05089,VALVOLINE CUMMINS PRIVATE LIMITED - JHARKHAND,20AAACW0287A1Z1,,DAMKARADHANBADJharkhandIndia,AAACW0287A  ,close
42,AN24-25POAR 721,27-02-2025,,,,,,,,,,31:03.3,31:03.3,S06921,VALVOLINE CUMMINS PVT LTD - ODISHA,21AAACW0287A2ZY,,"Plot No.426,NH 5OdishaIndia",AAACW0287A  ,close
43,CM24-25POAR 952,03-02-2025,,,,,,,,,,31:03.3,31:03.3,S00080,DOZER WORLD PVT LTD-DELHI,07AADCD2500J1Z2,,NULLNULLNULLNULL,AADCD2500J  ,close
44,AN24-25POAR 566,04-01-2025,,,,,,,,,,31:03.3,31:03.3,S00861,SRI RAMESH AUTOMOBILES,36CHSPK2407C1ZH,,"# 22-7-126/3, KAZIPALLYRAMAGUNDAMTelanganaIndia",CHSPK2407C  ,close
45,TP24-25/PO 1420,21-02-2025,,,,,,,,,,31:03.3,31:03.3,S00333,TATA HITACHI CONSTRUCTION MACHINERY COMPANY PVT LTD. CHHATTISGAR,22AAACT9077B1ZK,,BALODABAZAR. RAIPURCHHATTISGARHChhattisgarhIndia,AAACT9077B  ,close
46,TP24-25POAR 1083,13-03-2025,,,,,,,,,,31:03.3,31:03.3,S00083,DURGA AUTOMOBILES,36ASTPG2015J1ZO,,H. NO 22-7-13D. KAZIPALLY. SCI ROAD. NTPCRAMAGUNDAMTelanganaIndia,ASTPG2015J  ,close
47,AN24-25/PO 765,10-03-2025,,,,,,,,,,31:03.3,31:03.3,S06532,GUPTA BROTHERS,21BKOPG9525K1ZW,,"NH:-55,MAIN ROAD,ANGUL-759122ANGULOdishaIndia",BKOPG9525K  ,close
48,AN24-25POAR 616,16-01-2025,,,,,,,,,,31:03.3,31:03.3,S03933,TIPPER AND HYDRAULIC SOLUTIONS,36AFOPM2951D1ZE,,"H NO. 2-148/8, 1ST FLOOR, FRONT PORTIONHYDERABADTelanganaIndia",AFOPM2951D  ,close
49,PC24-25/PO 376,01-03-2025,,,,,,,,,,31:03.3,31:03.3,S06619,JAYDEEP AUTO CENTRE,20BMAPK3883J1Z5,,"MALPAHARI ROAD PAKUR,NEAR PETROL PUMP-816107JHARKHANDJharkhandIndia",BMAPK3883J  ,close
