item_id,po_id,item_name,oem_part_code,quantity,uom,unit_price,discount,taxable,gst_rate,gst_amount,billable_value,total_qty,created_at,updated_at
5,3,Fevitite (Araldite). 30100084,30100084,10.00,gms,110.17,0.00,1101.70,18.00,198.30,1300.00,292.00,2025-04-28 15:52:33.667015,2025-04-28 15:52:33.667015
8,3,Screw Driver 2In1. 40210467,40210467,1.00,Nos,74.58,0.00,74.58,18.00,13.42,88.00,292.00,2025-04-28 15:52:33.667015,2025-04-28 15:52:33.667015
9,3,Screw Driver. 50210154,50210154,1.00,Nos,105.93,0.00,105.93,18.00,19.06,124.99,292.00,2025-04-28 15:52:33.667015,2025-04-28 15:52:33.667015
10,3,Bolt&Nut M6X35. 30170395,30170395,50.00,Nos,8.47,0.00,423.50,18.00,76.24,499.74,292.00,2025-04-28 15:52:33.667015,2025-04-28 15:52:33.667015
11,3,Nut M6. 30170230,30170230,50.00,Nos,2.12,0.00,106.00,18.00,19.08,125.08,292.00,2025-04-28 15:52:33.667015,2025-04-28 15:52:33.667015
12,4,Room Heater. HAVELLS WATER FABIA 5S 1 99920136,99920136,1.00,Nos,6949.15,0.00,6949.15,18.00,1250.84,8199.99,2.00,2025-04-28 15:52:33.667015,2025-04-28 15:52:33.667015
13,4,Iron Bucket. HAVELLS IRON BOX 1250W 99920028,99920028,1.00,Nos,1262.71,0.00,1262.71,18.00,227.28,1489.99,2.00,2025-04-28 15:52:33.667015,2025-04-28 15:52:33.667015
1,2,BHARAT BENZ 3532 CM,,17.00,piece,5890000.00,0.00,1001300.00,28.00,28036400.00,128166400.00,17.00,2025-04-28 15:52:33.667015,2025-04-28 15:52:33.667015
2,1,Gulf Engine Oil Supreme Duty Le 15W40 Ci4+ 21650023,211020435100,840.00,Ltrs,125.00,0.00,105000.00,18.00,,123900.00,840.00,2025-04-28 15:52:33.667015,2025-04-28 15:52:33.667015
16,3,sunscreen_spf50,2,1.00,nos,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2025-05-02 12:23:04.587539,2025-05-02 12:23:04.587539
4,3,Nut M6. 30170230,30170230,40.00,Nos,2.12,0.00,84.80,18.00,15.26,100.06,292.00,2025-04-28 15:52:33.667015,2025-04-28 15:52:33.667015
7,3,PVC Connector 3. 30170254,30170254,50.00,Nos,32.20,0.00,1610.17,18.00,289.80,1899.80,292.00,2025-04-28 15:52:33.667015,2025-04-28 15:52:33.667015
3,3,Bolt (M6X25) 30170035,30170035,40.00,Nos,7.63,0.00,305.08,18.00,54.94,360.14,292.00,2025-04-28 15:52:33.667015,2025-04-28 15:52:33.667015
6,3,Grease Nipple Small. 30100125,30100125,50.00,Nos,18.64,0.00,932.20,18.00,167.76,1099.76,292.00,2025-04-28 15:52:33.667015,2025-04-28 15:52:33.667015
17,1004,General Repairs - Furniture & Fixtures,0,1.00,Nos,8500.00,0.00,8500.00,,1530.00,10030.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
18,1004,General Repairs - HEMM,0,2.00,Nos,8500.00,0.00,17000.00,,3060.00,20060.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
19,306,41550067,0,1.00,Nos,207.62,0.00,207.62,,37.38,245.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
20,306,40550398,0,1.00,Nos,500.00,0.00,500.00,,90.00,590.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
21,306,20310005,0,10.00,Ltrs,74.58,0.00,745.76,,134.24,880.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
22,306,General Repairs - LMV & Others,0,1.00,Nos,800.78,0.00,800.78,,224.22,1025.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
23,306,41550068,0,1.00,Nos,584.74,0.00,584.74,,105.26,690.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
24,306,General Repairs - LMV & Others,0,1.00,Nos,727.12,0.00,727.12,,130.88,858.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
25,1649,30420072,0,107.00,Nos,780.00,0.00,83460.00,,10015.20,93475.20,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
26,1649,30420072,0,19.00,Nos,830.00,0.00,15770.00,,1892.40,17662.40,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
27,1649,30420072,0,10.00,Nos,650.00,0.00,6500.00,,780.00,7280.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
28,1649,NULL,NULL,0.00,NULL,0.00,0.00,0.00,,0.00,0.40,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
29,128,40241504,0,1.00,Nos,325.42,0.00,325.42,,58.58,384.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
30,128,20110020,0,2.00,Nos,207.63,0.00,415.26,,74.74,490.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
31,801,50210044,0,1.00,Nos,385.00,0.00,385.00,,69.30,454.30,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
32,801,50210372,0,1.00,Nos,47.00,0.00,47.00,,8.46,55.46,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
33,801,50210266,0,1.00,Nos,2150.00,0.00,2150.00,,387.00,2537.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
34,801,50210239,27101980,1.00,Nos,237.00,0.00,237.00,,42.66,279.66,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
35,801,50210221,0,1.00,Nos,1250.00,0.00,1250.00,,225.00,1475.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
36,801,99920105,0,2.00,Nos,4200.00,0.00,8400.00,,1512.00,9912.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
37,801,30140465,0,2.00,Nos,13000.00,0.00,26000.00,,4680.00,30680.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
38,801,99920105,0,1.00,Nos,1650.00,0.00,1650.00,,297.00,1947.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
39,801,30140272,0,90.00,Nos,10.50,0.00,945.00,,170.10,1115.10,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
40,801,30100136,0,25.00,Nos,42.00,0.00,1050.00,,189.00,1239.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
41,801,30140420,0,5.00,Nos,330.00,0.00,1650.00,,297.00,1947.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
42,801,40141132,0,4.00,Nos,869.00,0.00,3476.00,,625.68,4101.68,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
43,801,30270003,0,3.00,Nos,190.00,0.00,570.00,,102.60,672.60,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
44,801,30100089,0,2.00,Nos,2200.00,0.00,4400.00,,792.00,5192.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
45,801,50210272,0,1.00,Nos,653.00,0.00,653.00,,117.54,770.54,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
46,801,30170228,0,2.00,Nos,2400.00,0.00,4800.00,,864.00,5664.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
47,801,30160062,0,5.00,Nos,145.00,0.00,725.00,,130.50,855.50,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
48,801,30100116,0,50.00,Nos,10.00,0.00,500.00,,90.00,590.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
49,801,40241584,0,1.00,Nos,305.00,0.00,305.00,,54.90,359.90,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
50,801,50210244,0,1.00,Nos,450.00,0.00,450.00,,81.00,531.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
51,801,NULL,NULL,0.00,NULL,0.00,0.00,0.00,,0.00,0.26,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
52,1818,41150125,0,1.00,Nos,2375.00,0.00,2375.00,,427.50,2802.50,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
53,1818,40241125,0,2.00,Nos,635.00,0.00,1270.00,,228.60,1498.60,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
54,1818,40241125,0,1.00,Nos,346.00,0.00,346.00,,62.28,408.28,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
55,1818,40241346,0,1.00,Nos,867.00,0.00,867.00,,156.06,1023.06,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
56,1818,30100227,0,10.00,Nos,110.00,0.00,1100.00,,198.00,1298.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
57,1818,30240045,0,1.00,Nos,200.00,0.00,200.00,,36.00,236.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
58,1818,30240045,0,1.00,Nos,585.00,0.00,585.00,,105.30,690.30,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
59,1818,40241501,0,1.00,Nos,1450.00,0.00,1450.00,,261.00,1711.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
60,1818,40242512,0,2.00,Nos,2437.00,0.00,4874.00,,877.32,5751.32,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
61,1818,40240924,0,2.00,Nos,1350.00,0.00,2700.00,,486.00,3186.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
62,1818,40240811,0,1.00,Nos,473.00,0.00,473.00,,85.14,558.14,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
63,1818,NULL,NULL,0.00,NULL,0.00,0.00,0.00,,0.00,-0.20,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
64,377,31760035,0,19.38,Tons,39000.00,0.00,755820.00,,136047.60,891867.60,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
65,377,NULL,NULL,0.00,NULL,0.00,0.00,0.00,,0.00,0.40,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
66,1778,31760199,0,37.83,Tons,40198.00,0.00,1520690.34,,273724.26,1794414.60,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
67,1778,NULL,NULL,0.00,NULL,0.00,0.00,0.00,,0.00,0.40,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
68,659,31760036,0,5600.00,Mtrs,32.50,0.00,182000.00,,32760.00,214760.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
69,659,31760036,0,4400.00,Mtrs,39.00,0.00,171600.00,,30888.00,202488.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
70,1276,Repairs - Crank Shaft (2507706) ; (Scania : P410),0,1.00,Nos,9800.00,0.00,9800.00,,1764.00,11564.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
1435,798,NULL,0,0.00,NULL,0.00,0.00,0.00,,1257.26,5747.50,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
71,1276,Repairs - Engine Cyl Block (2929222) ; (Scania : P410),0,1.00,Nos,10500.00,0.00,10500.00,,1890.00,12390.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
72,1276,Repairs - Camshaft (2023798) ; (Scania : P410),0,1.00,Nos,7000.00,0.00,7000.00,,1260.00,8260.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
73,1525,Repairs - Engine Cyl Block (2929222) ; (Scania : P410),0,1.00,Nos,10500.00,0.00,10500.00,,1890.00,12390.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
74,1525,Repairs - Camshaft (2023798) ; (Scania : P410),0,1.00,Nos,9800.00,0.00,9800.00,,1764.00,11564.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
75,1525,Repairs - Crank Shaft (2507706) ; (Scania : P410),0,1.00,Nos,7000.00,0.00,7000.00,,1260.00,8260.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
76,1627,41120076,84314930,1.00,Nos,297000.00,0.00,297000.00,,53460.00,350460.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
77,1829,41120058,8482,1.00,Nos,42055.00,0.00,42055.00,,7569.90,49624.90,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
78,1829,NULL,NULL,0.00,NULL,0.00,0.00,0.00,,0.00,0.10,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
79,1464,40241999,0,4.00,Nos,390.00,0.00,1560.00,,280.80,1840.80,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
80,1464,41150116,0,2.00,Nos,2217.00,0.00,4434.00,,798.12,5232.12,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
81,1464,40240861,0,4.00,Nos,875.00,0.00,3500.00,,630.00,4130.00,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
82,1464,NULL,NULL,0.00,NULL,0.00,0.00,0.00,,0.00,0.08,,2025-05-23 15:42:15.175736,2025-05-23 15:42:15.175736
